onet_code,occupation_title,annual_10th,annual_25th,annual_median,annual_75th,annual_90th,data_source,data_year,bls_link
17-2161.00,"Nuclear Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172161.htm
17-2171.00,"Petroleum Engineers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172171.htm
17-2199.00,"Engineers, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes172199.htm
17-3011.00,"Architectural and Civil Drafters",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173011.htm
17-3012.00,"Electrical and Electronics Drafters",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173012.htm
17-3013.00,"Mechanical Drafters",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173013.htm
17-3019.00,"Drafters, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173019.htm
17-3021.00,"Aerospace Engineering and Operations Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173021.htm
17-3022.00,"Civil Engineering Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173022.htm
17-3023.00,"Electrical and Electronic Engineering Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173023.htm
17-3024.00,"Electro-Mechanical and Mechatronics Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173024.htm
17-3025.00,"Environmental Engineering Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173025.htm
17-3026.00,"Industrial Engineering Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173026.htm
17-3027.00,"Mechanical Engineering Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173027.htm
17-3028.00,"Calibration Technologists and Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173028.htm
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173029.htm
17-3031.00,"Surveying and Mapping Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes173031.htm
19-1011.00,"Animal Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191011.htm
19-1012.00,"Food Scientists and Technologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191012.htm
19-1013.00,"Soil and Plant Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191013.htm
19-1021.00,"Biochemists and Biophysicists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191021.htm
19-1022.00,"Microbiologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191022.htm
19-1023.00,"Zoologists and Wildlife Biologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191023.htm
19-1029.00,"Biological Scientists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191029.htm
19-1031.00,"Conservation Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191031.htm
19-1032.00,"Foresters",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191032.htm
19-1041.00,"Epidemiologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191041.htm
19-1042.00,"Medical Scientists, Except Epidemiologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191042.htm
19-1099.00,"Life Scientists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes191099.htm
19-2011.00,"Astronomers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192011.htm
19-2012.00,"Physicists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192012.htm
19-2021.00,"Atmospheric and Space Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192021.htm
19-2031.00,"Chemists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192031.htm
19-2032.00,"Materials Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192032.htm
19-2041.00,"Environmental Scientists and Specialists, Including Health",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192041.htm
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192042.htm
